symbol,timeframe,timestamp,open,high,low,close,volume
BTCUSDT,15m,2026-05-28 08:45:00,73255.7,73340.5,73241.4,73287.8,101.3775
BTCUSDT,15m,2026-05-28 09:00:00,73287.6,73370.0,73221.6,73275.8,135.1069
BTCUSDT,15m,2026-05-28 09:15:00,73275.6,73385.7,73265.8,73366.2,66.9207
BTCUSDT,15m,2026-05-28 09:30:00,73366.3,73468.9,73327.9,73456.5,400.6947
BTCUSDT,15m,2026-05-28 09:45:00,73456.7,73537.0,73455.0,73510.8,335.0855
BTCUSDT,15m,2026-05-28 10:00:00,73510.8,73580.0,73465.0,73543.5,147.8745
BTCUSDT,15m,2026-05-28 10:15:00,73543.5,73548.2,73309.0,73397.7,226.7678
BTCUSDT,15m,2026-05-28 10:30:00,73397.7,73482.0,73364.5,73478.9,82.0020
BTCUSDT,15m,2026-05-28 10:45:00,73478.9,73565.7,73340.0,73366.1,166.0424
BTCUSDT,15m,2026-05-28 11:00:00,73366.1,73431.3,73306.0,73407.0,261.4517
BTCUSDT,15m,2026-05-28 11:15:00,73407.2,73428.7,73300.0,73324.7,73.9981
BTCUSDT,15m,2026-05-28 11:30:00,73324.7,73450.8,73277.9,73450.6,101.2072
BTCUSDT,15m,2026-05-28 11:45:00,73450.9,73507.0,73396.9,73475.4,89.8669
BTCUSDT,15m,2026-05-28 12:00:00,73475.4,73494.3,73368.5,73368.5,61.2638
BTCUSDT,15m,2026-05-28 12:15:00,73368.7,73389.0,73225.0,73351.5,167.6690
BTCUSDT,15m,2026-05-28 12:30:00,73350.4,73520.0,73319.7,73452.9,193.6339
BTCUSDT,15m,2026-05-28 12:45:00,73452.9,73553.7,73450.6,73493.8,115.6151
BTCUSDT,15m,2026-05-28 13:00:00,73493.8,73546.0,73301.0,73307.2,142.7255
BTCUSDT,15m,2026-05-28 13:15:00,73307.2,73307.2,72950.9,73135.1,467.4729
BTCUSDT,15m,2026-05-28 13:30:00,73132.4,73135.0,72738.0,72753.5,594.1432
BTCUSDT,15m,2026-05-28 13:45:00,72753.6,73092.2,72753.6,72996.7,484.1187
BTCUSDT,15m,2026-05-28 14:00:00,72996.8,73310.8,72563.9,73293.8,1229.9994
BTCUSDT,15m,2026-05-28 14:15:00,73293.5,73548.3,72861.0,72942.9,1153.0356
BTCUSDT,15m,2026-05-28 14:30:00,72942.7,73026.4,72775.0,72831.2,403.7499
BTCUSDT,15m,2026-05-28 14:45:00,72831.4,73011.0,72672.1,72999.3,376.1288
BTCUSDT,15m,2026-05-28 15:00:00,72999.4,73151.5,72829.2,72834.8,290.7877
BTCUSDT,15m,2026-05-28 15:15:00,72835.0,72947.1,72666.9,72935.8,467.0552
BTCUSDT,15m,2026-05-28 15:30:00,72936.0,72988.1,72804.5,72988.1,171.4634
BTCUSDT,15m,2026-05-28 15:45:00,72989.5,73039.2,72850.8,72900.3,136.7616
BTCUSDT,15m,2026-05-28 16:00:00,72898.5,73136.9,72710.7,73076.2,253.1327
BTCUSDT,15m,2026-05-28 16:15:00,73074.4,73301.8,73028.3,73125.9,311.9025
